Year,Jurisdiction_x,Pct_Econ_Disadvantaged,Pct_Not_Econ_Disadvantaged,Pct_Eligible_NSLP,Pct_Not_Eligible_NSLP,Did_Not_Finish_HS,Graduated_HS,Graduated_College,I_Dont_Know,White,Black,Hispanic,Asian_Pacific_Islander,American_Indian,Two_or_More,Avg_Score,Pctl_0,Pctl_10,Pctl_25,Pctl_50,Pctl_75,Pctl_90
Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,,Percentage,Percentage,Percentage,Percentage,Percentage
2024,Ohio without Cleveland,47.91431435,50.40545796,,,3.157844748,14.28789083,13.91998087,56.66539277,68.55893941,14.93738165,8.02754437,3.472652397,,4.772352961,279.6802366,,225.9804985,251.4950012,280.0175018,308.1929993,333.0559967
2024,Pennsylvania without Philadelphia,46.6094796,53.3905204,,,3.195521687,13.7071602,12.7781271,58.36042947,66.71486356,11.99855306,10.86686873,5.54566233,,4.874052319,277.7203581,,218.9624992,248.2310005,279.237001,308.6079987,334.0014999
2024,Tennessee without Shelby County,,,,,,,,,,,,,,,,,,,,,
2024,Texas without Austin,57.66166624,42.33189861,,,7.675481555,15.89340984,13.5070083,47.09738815,26.16467515,14.06427992,50.88156471,6.07392663,,2.384613153,269.355647,,218.6585014,241.5065002,267.9629974,297.0065018,321.6225021
2024,Texas without Dallas,56.90251728,43.08772401,,,7.47256768,15.67666481,13.44175989,47.69268933,26.74429746,13.85000615,50.38199266,6.178208725,,2.414004173,269.6225664,,218.7930008,241.7114998,268.2235001,297.3659988,321.9279999
2024,Texas without Forth Worth,57.26165892,42.722248,,,7.630338774,15.75190923,13.45256636,47.453469,26.44906757,13.89741314,50.70494665,6.116248678,,2.403092503,269.6003094,,218.8024994,241.7125,268.2440002,297.2964996,321.8825012
2024,Texas without Houston,56.93230892,43.05134593,,,7.60924073,15.78407675,13.49598897,47.52971038,26.75413389,13.75645305,50.51308779,6.111013804,,2.427439536,269.535301,,218.7589996,241.6915001,268.2255035,297.2300003,321.8070023
2024,Texas without any TUDAs,56.05787563,43.94212437,,,7.280475595,15.61010166,13.53664537,48.19301144,27.37119024,13.69682411,49.74107875,6.307397482,,2.435535123,269.9654807,,219.1820015,242.2035004,268.6334991,297.6545029,322.0149963
2024,Wisconsin without Milwaukee,37.45417889,62.36257281,,,3.972879977,10.69682822,12.10825268,63.2400165,73.1632175,4.245991592,12.58405865,4.529338719,0.989491889,4.487901655,285.6953294,,233.6175003,258.8369995,287.5285034,313.0990021,334.3704987
2022,National,46.25146602,45.73531514,46.25146602,45.73531514,6.415836144,14.65051498,12.61662671,52.46938535,46.45762563,14.49127133,27.6540994,6.224449539,0.88116155,4.29139255,274.2662133,,224.3375008,247.2350006,273.811998,300.7899994,324.938002
2022,Albuquerque,67.99509786,32.00490214,67.99509786,32.00490214,10.62798313,17.98216157,14.85147076,39.12886723,18.71388858,1.992880592,69.10730853,1.715888212,5.404083395,3.065950692,260.0357149,,211.6290009,232.5464996,257.2959984,286.3209946,313.1289993
2022,Atlanta,67.42358748,32.34966154,67.42358748,32.34966154,5.66019661,16.26786886,14.62653489,51.90155924,15.26807971,72.76956482,8.553939631,1.433779783,,1.752767848,262.6231009,,216.3289993,236.0585014,259.8755005,285.6379974,312.1730011
2022,Austin,51.00472771,48.99527229,51.00472771,48.99527229,10.76987819,13.60344901,7.960966595,53.08093693,32.80606269,5.865832063,53.20704081,4.270365385,,3.720199356,273.0179459,,222.2734993,243.8650002,271.1804993,301.8035034,327.0800003
2022,Baltimore City,60.81842147,38.89364876,60.81842147,38.89364876,8.142552602,24.16176223,15.93490976,35.46872688,7.742159535,78.74110337,11.18838736,1.582086962,,0.628002708,245.2833978,,202.576001,220.4989983,241.7190002,266.0089981,292.8675018
2022,Boston,71.10867329,28.89132671,71.10867329,28.89132671,8.21212986,17.09998841,11.90925713,40.56592146,14.25799468,27.76194193,42.56046854,11.83075262,,3.58884223,269.8839989,,214.1094994,237.557,266.1595032,300.4850021,331.4935043
2022,Charlotte,32.86942703,66.91176973,32.86942703,66.91176973,8.836751432,16.75061882,9.396654536,51.55222329,23.86496063,36.88672011,29.9966472,6.423952484,,2.378022209,277.6185741,,227.236499,250.0025002,277.0619995,304.0819977,328.8180023
2022,Chicago,77.28670908,16.65091083,77.28670908,16.65091083,9.39294016,19.8007795,15.58670951,35.09973425,11.02022072,37.34067186,45.9526353,4.619937407,,0.695096333,263.0285528,,218.7624992,238.5014999,261.3299973,285.3545013,311.399498
2022,Clark County (NV),100,,100,,11.59051323,18.8112352,14.73382373,36.67387527,23.26644545,13.44721336,48.62153251,7.650079251,,6.679889536,266.7688973,,219.5899986,240.5494987,265.2554993,291.4955017,317.0414978
2022,Cleveland,100,,100,,9.472819016,24.10941991,14.33479982,33.99484222,15.36840824,62.71255745,17.33348099,2.272586592,,2.312966725,244.7177603,,202.0464989,220.9334999,243.2044998,265.5979996,289.4950012
2022,Dallas,85.65887123,14.34112877,85.65887123,14.34112877,21.63301902,21.67182143,14.61324872,23.78234907,4.250061336,18.51137179,74.27161098,1.57533864,,1.311053558,260.3458218,,219.5550003,237.1045006,259.0554993,281.5960022,303.5595001
2022,‡,51.76401257,47.94551544,51.76401257,47.94551544,,,,,22.59116412,13.76150666,55.6674967,3.962933655,,3.837447802,264.5827601,,210.9630005,235.3754997,263.3085022,293.3815018,320.5990005
2022,Detroit,81.97252544,18.02747456,81.97252544,18.02747456,11.65593453,25.98412171,14.48986309,28.82609892,2.743792206,76.90772169,18.41223497,1.936251128,,,237.5743738,,200.0904991,216.7915001,235.406501,255.5580017,279.3520004
2022,District of Columbia (DCPS),73.97570483,26.02429517,73.97570483,26.02429517,6.405004029,18.35047062,12.37211304,45.91941437,12.0375596,62.57172908,21.85801517,1.526739481,,2.005956666,256.882146,,205.7439987,226.850502,253.5229996,283.9664978,313.7279999
2022,Duval County (FL),48.32851396,51.43476614,48.32851396,51.43476614,5.397846953,16.16312961,14.80097558,48.37341721,31.41044857,42.94093027,14.80749715,5.250141608,0.525060279,5.065922125,269.2016962,,223.3000008,241.8949997,266.4320007,294.9584991,319.6660019
2022,Fort Worth (TX),#,14.08306373,85.91693627,14.08306373,17.87937956,21.91453934,12.69926306,25.43032042,9.894156627,19.72979084,67.85428903,0.762234164,,1.591058695,258.9744393,,219.9979996,236.881501,257.174501,279.7354996,300.8124954
2022,Fresno,,,,,,,,,,,,,,,,,,,,,
2022,#,43.92553442,56.07446558,43.92553442,56.07446558,9.456730266,11.61598094,11.88017842,54.53186093,27.71726446,42.41523037,17.46875006,7.303905687,,4.967404101,270.216594,,223.1365005,243.968,268.7550018,295.3670013,319.6390015
2022,Hillsborough County (FL),60.50732189,39.49267811,60.50732189,39.49267811,6.65932775,15.44627462,11.43489663,52.32408563,30.52339245,21.49832616,38.27546875,5.099409454,,4.378655884,269.3080415,,223.3150009,242.5300018,267.2834961,294.5350006,318.9445007
2022,Houston,80.67524782,19.08681344,80.67524782,19.08681344,13.8825553,18.25227251,11.7065471,32.72609372,8.071910652,21.37784036,65.12635403,4.455332463,,0.731324336,264.6722456,,218.3469994,237.2184998,261.7444992,288.988501,316.6429993
2022,Jefferson County (KY),70.4753834,29.5246166,70.4753834,29.5246166,6.237606175,17.83662171,14.93405365,42.5296555,38.1925346,38.29260069,14.21431921,4.134445209,,5.070384948,262.6202349,,215.4689995,235.7590004,260.3845001,287.6559998,313.7660004
2022,Los Angeles,63.11224763,9.996489768,63.11224763,9.996489768,12.6795396,16.33053059,12.24371413,32.91682402,11.87464429,5.69440931,71.96828325,7.987360679,,2.206695967,262.3982501,,213.3224991,235.3674995,260.6434998,287.3415039,313.335498
2022,Miami-Dade,74.90238927,24.94300767,74.90238927,24.94300767,4.32808278,13.50401656,14.00912331,52.66793599,6.180827946,18.37518936,73.73650506,1.308994054,,,274.2205045,,228.7470001,249.845002,273.6440002,297.9829941,320.7345016
2022,Milwaukee,79.72298161,19.98369751,79.72298161,19.98369751,8.210350211,19.79015461,14.40860027,37.03712336,10.8076675,49.36733219,26.83105954,10.17371179,,2.583677473,246.2726621,,203.1309998,221.5365005,243.7775009,269.7520004,292.797998
2022,New York City,74.40389683,25.59610317,74.40389683,25.59610317,9.216411459,13.45897084,12.13313689,40.91371633,13.5271328,21.29995007,43.61260272,19.31634319,,2.021721047,268.8982403,,214.9215012,236.9794991,264.4600006,298.8054993,331.4360016
2022,Orange County (FL),,,,,,,,,,,,,,,,,,,,,
2022,Philadelphia,73.82879572,26.17120428,73.82879572,26.17120428,7.821738832,22.09487594,15.30400309,34.25625028,13.45594232,47.04416026,24.32959314,8.840947693,0.808688937,5.520667644,252.3474212,,206.0215012,225.1279984,247.3919991,275.3579987,307.4995026
2022,San Diego,55.13851203,44.86148797,55.13851203,44.86148797,6.73590358,13.09305934,13.14802895,51.3473477,24.96664085,6.989753402,43.50449877,16.21678145,,8.322325526,274.3590164,,221.6614983,243.5069992,272.9419968,303.7464996,329.6904984
2022,Shelby County (TN),58.87474725,41.12525275,58.87474725,41.12525275,8.05489084,20.8949001,14.88596867,39.25728217,4.804378376,72.56235689,18.29283457,1.036596055,,3.225368391,250.8407323,,208.807502,228.2404999,249.7509987,272.3150009,293.9274994
2022,California without Fresno,,,,,,,,,,,,,,,,,,,,,
